Ticker,Company Name,Sector,Industry,Market Cap,Last Price,Volume,52 Week High,52 Week Low,Average Volume,P/E Ratio,Dividend Yield,Beta,Last Updated
NVDA,NVIDIA Corporation,Technology,Semiconductors,4326949126144,177.72,147115063,212.19,86.62,192344447,43.9901,0.02,2.284,2025-12-16 17:16:21
AAPL,Apple Inc.,Technology,Consumer Electronics,4075319197696,274.61,37339504,288.62,169.21,48856580,36.81099,0.38,1.107,2025-12-16 17:16:20
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3714865430528,307.73,21031247,328.67,142.66,23415730,30.438183,0.27,1.07,2025-12-16 17:16:20
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3713213399040,306.57,30447191,328.83,140.53,36405222,30.233728,0.27,1.07,2025-12-16 17:16:20
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3541086240768,476.39,19938039,555.45,344.79,22586079,33.90676,0.77,1.07,2025-12-16 17:16:20
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2379214487552,222.56,36683069,258.6,161.38,48324217,31.435028,0.0,1.372,2025-12-16 17:16:50
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1656364728320,657.15,14058674,796.25,479.8,17807422,29.077435,0.32,1.273,2025-12-16 17:16:20
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1629252354048,489.88,104578096,491.5,214.25,85383744,333.2517,0.0,1.878,2025-12-16 17:16:21
AVGO,Broadcom Inc.,Technology,Semiconductors,1611743100928,341.3,57852854,414.61,138.1,24968806,71.701675,0.77,1.204,2025-12-16 17:16:23
ORCL,Oracle Corporation,Technology,Software - Infrastructure,542015946752,188.65,27788208,345.72,118.86,26054777,35.393997,1.08,1.659,2025-12-16 17:16:23
NFLX,"Netflix, Inc.",Communication Services,Entertainment,400723673088,94.57,32497789,134.115,82.11,42830793,39.569035,0.0,1.706,2025-12-16 17:16:23
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,381943480320,860.39,3810250,1078.23,844.06,2629512,46.08409,0.6,0.982,2025-12-16 17:18:05
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,340537442304,209.17,23090108,267.08,76.48,56932293,109.51309,0.0,1.927,2025-12-16 17:16:21
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,306407407616,77.55,15762934,80.82,52.11,20463122,29.942087,2.1,0.864,2025-12-16 17:16:23
IBM,International Business Machines Corporation,Technology,Information Technology Services,283393032192,303.18,2520553,324.9,214.5,5194952,36.092857,2.18,0.689,2025-12-16 17:16:24
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,275901284352,588.93,2311831,627.5,267.3,2936315,30.263618,1.02,1.563,2025-12-16 17:18:20
MU,"Micron Technology, Inc.",Technology,Semiconductors,261655068672,232.51,22044025,264.75,61.54,25934276,30.59342,0.19,1.548,2025-12-16 17:16:26
CRM,"Salesforce, Inc.",Technology,Software - Application,242674319360,254.91,4691720,367.09,221.96,8622138,34.078876,0.65,1.253,2025-12-16 17:16:23
RTX,RTX Corporation,Industrials,Aerospace & Defense,241245093888,179.93,3196567,182.28,112.27,4690626,37.022633,1.49,0.435,2025-12-16 17:18:20
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,224428589056,314.5,2167556,326.32,276.53,3183196,26.811596,2.33,0.521,2025-12-16 17:16:53
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,222832967680,198.0,5624548,276.49,194.01,4917257,19.075144,2.08,0.436,2025-12-16 17:17:12
SHOP,Shopify Inc.,Technology,Software - Application,212382662656,163.14,5445569,182.19,69.84,8520158,119.95588,0.0,2.83,2025-12-16 17:20:22
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,206202929152,258.84,5731768,276.1,123.74,8376771,29.9237,0.7,1.666,2025-12-16 17:16:26
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,205876133888,163.26,7932326,169.69,56.32,11374846,36.039734,0.63,1.781,2025-12-16 17:16:26
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,205868138496,150.37,7484453,160.15,127.6,7412325,28.58745,3.76,0.421,2025-12-16 17:18:07
DIS,The Walt Disney Company,Communication Services,Entertainment,200685371392,111.62,14693131,124.69,80.1,10306601,16.294891,1.36,1.497,2025-12-16 17:17:10
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,198803914752,554.58,1946035,616.0,425.0,2224184,73.45431,0.0,1.686,2025-12-16 17:17:25
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,190033494016,176.12,7130215,205.95,120.8,10058455,35.224,1.99,1.214,2025-12-16 17:16:21
